Version1,Version2,Hungarian
2007-05-20_22-22-18,2007-05-21_23-30-54,0.7644503842298698
2007-05-21_23-30-54,2007-05-22_21-46-11,0.7415079630248358
2007-05-22_21-46-11,2007-05-23_15-22-50,0.789720173281817
2007-05-23_15-22-50,2007-05-24_13-52-46,0.748151772124375
2007-05-24_13-52-46,2007-05-25_14-34-30,0.6846597086323113
2007-05-25_14-34-30,2007-05-26_19-00-18,0.7249999999999999
2007-05-26_19-00-18,2007-05-27_03-39-50,0.7813356164383563
2007-05-27_03-39-50,2007-05-29_21-41-28,0.7720792961354273
2007-05-29_21-41-28,2007-05-30_14-48-38,0.7800980064595168
2007-05-30_14-48-38,2007-05-31_23-55-39,0.7847755874819022
2007-05-31_23-55-39,2007-06-01_14-40-03,0.7413965920481123
2007-06-01_14-40-03,2007-06-02_12-54-09,0.7381111482347699
2007-06-02_12-54-09,2007-06-03_22-30-22,0.7728032074841296
2007-06-03_22-30-22,2007-06-04_23-32-35,0.7227976389352934
2007-06-04_23-32-35,2007-06-05_22-29-14,0.7161883018047404
2007-06-05_22-29-14,2007-06-06_19-27-58,0.7540769732550556
2007-06-06_19-27-58,2007-06-07_13-22-56,0.702026951776367
2007-06-07_13-22-56,2007-06-08_16-18-15,0.6780968468468469
2007-06-08_16-18-15,2007-06-09_23-49-05,0.7353328938694792
2007-06-09_23-49-05,2007-06-10_19-29-37,0.7185027554973539
2007-06-10_19-29-37,2007-06-11_16-31-55,0.704267026578073
2007-06-11_16-31-55,2007-06-12_22-35-19,0.7420024296416277
2007-06-12_22-35-19,2007-06-13_12-49-46,0.6600020247013565
2007-06-13_12-49-46,2007-06-14_21-41-15,0.7554457059047207
2007-06-14_21-41-15,2007-06-15_23-43-11,0.726344557314495
2007-06-15_23-43-11,2007-06-16_20-52-33,0.7643479606043417
2007-06-16_20-52-33,2007-06-17_23-40-26,0.7320096754686556
2007-06-17_23-40-26,2007-06-18_10-35-06,0.75
2007-06-18_10-35-06,2007-06-19_23-04-17,0.7176373739452562
2007-06-19_23-04-17,2007-06-20_15-23-03,0.7284028655710072
2007-06-20_15-23-03,2007-06-21_13-44-53,0.7133836439242259
2007-06-21_13-44-53,2007-06-22_17-39-21,0.7614890628135661
2007-06-22_17-39-21,2007-06-23_23-14-02,0.7653370296216438
2007-06-23_23-14-02,2007-06-25_22-55-34,0.7643102828687304
2007-06-25_22-55-34,2007-06-26_15-59-37,0.7464962267056832
2007-06-26_15-59-37,2007-06-27_21-40-07,0.7213146921756195
2007-06-27_21-40-07,2007-06-28_17-13-51,0.7345597252882021
2007-06-28_17-13-51,2007-06-30_17-12-14,0.74894641782059
2007-06-30_17-12-14,2007-07-01_22-25-33,0.6868742490989187
2007-07-01_22-25-33,2007-07-02_15-47-52,0.731789775637742
2007-07-02_15-47-52,2007-07-03_15-47-50,0.7367340808970767
2007-07-03_15-47-50,2007-07-05_00-12-55,0.6425710853023628
2007-07-05_00-12-55,2007-07-06_16-57-06,0.7159127538411949
2007-07-06_16-57-06,2007-07-13_15-26-53,0.7417138661632054
2007-07-13_15-26-53,2007-07-14_22-51-28,0.7336850732506917
2007-07-14_22-51-28,2007-07-15_19-27-48,0.7732302018235836
2007-07-15_19-27-48,2007-07-16_22-21-15,0.7739985657207256
2007-07-16_22-21-15,2007-07-17_23-22-49,0.7147320971211969
2007-07-17_23-22-49,2007-07-18_22-03-40,0.7309104258443467
2007-07-18_22-03-40,2007-07-19_22-50-47,0.6783564261825132
2007-07-19_22-50-47,2007-07-20_21-29-49,0.6935977066411851
2007-07-20_21-29-49,2007-07-21_22-29-26,0.7653973933043704
2007-07-21_22-29-26,2007-07-23_22-44-15,0.7054432822179344
2007-07-23_22-44-15,2007-07-24_15-54-42,0.7794252056463896
2007-07-24_15-54-42,2007-07-25_17-39-46,0.7733723699880904
2007-07-25_17-39-46,2007-07-26_11-12-51,0.7639495390587095
2007-07-26_11-12-51,2007-07-27_15-30-39,0.7561377971858322
2007-07-27_15-30-39,2007-07-29_14-59-06,0.7801067442988839
2007-07-29_14-59-06,2007-07-30_12-32-37,0.7271227559437167
2007-07-30_12-32-37,2007-07-31_17-09-44,0.7491023774866569
2007-07-31_17-09-44,2007-08-01_23-30-54,0.7304706453178069
2007-08-01_23-30-54,2007-08-02_22-31-05,0.7874652639936482
2007-08-02_22-31-05,2007-08-03_14-17-21,0.7245434696308058
2007-08-03_14-17-21,2007-08-06_15-49-12,0.7157690441533237
2007-08-06_15-49-12,2007-08-09_08-27-24,0.7662785055798155
2007-08-09_08-27-24,2007-08-11_20-26-02,0.768753032508491
2007-08-11_20-26-02,2007-08-12_21-33-06,0.6807552650689905
2007-08-12_21-33-06,2007-08-13_14-10-24,0.6878809695224383
2007-08-13_14-10-24,2007-08-14_16-55-01,0.745797727486149
