Version1,Version2,Hungarian
2007-05-20_22-22-18,2007-05-21_23-30-54,0.7270854215391468
2007-05-21_23-30-54,2007-05-22_21-46-11,0.7509132420091323
2007-05-22_21-46-11,2007-05-23_15-22-50,0.7702625570776255
2007-05-23_15-22-50,2007-05-24_13-52-46,0.773360062367747
2007-05-24_13-52-46,2007-05-25_14-34-30,0.7546749293324636
2007-05-25_14-34-30,2007-05-26_19-00-18,0.7691889541204608
2007-05-26_19-00-18,2007-05-27_03-39-50,0.7684040539035527
2007-05-27_03-39-50,2007-05-29_21-41-28,0.7434012696291346
2007-05-29_21-41-28,2007-05-30_14-48-38,0.7496780236506264
2007-05-30_14-48-38,2007-05-31_23-55-39,0.7648401826484018
2007-05-31_23-55-39,2007-06-01_14-40-03,0.7150684931506849
2007-06-01_14-40-03,2007-06-02_12-54-09,0.7607876712328766
2007-06-02_12-54-09,2007-06-03_22-30-22,0.7394406392694066
2007-06-03_22-30-22,2007-06-04_23-32-35,0.7276826484018267
2007-06-04_23-32-35,2007-06-05_22-29-14,0.7287100456621004
2007-06-05_22-29-14,2007-06-06_19-27-58,0.7674657534246578
2007-06-06_19-27-58,2007-06-07_13-22-56,0.7909246575342468
2007-06-07_13-22-56,2007-06-08_16-18-15,0.6988416988416988
2007-06-08_16-18-15,2007-06-09_23-49-05,0.702970827970828
2007-06-09_23-49-05,2007-06-10_19-29-37,0.7280445132794128
2007-06-10_19-29-37,2007-06-11_16-31-55,0.7252747252747253
2007-06-11_16-31-55,2007-06-12_22-35-19,0.7068825031234724
2007-06-12_22-35-19,2007-06-13_12-49-46,0.7116084523874192
2007-06-13_12-49-46,2007-06-14_21-41-15,0.74315144766147
2007-06-14_21-41-15,2007-06-15_23-43-11,0.7100332594235034
2007-06-15_23-43-11,2007-06-16_20-52-33,0.7310975609756099
2007-06-16_20-52-33,2007-06-17_23-40-26,0.7040181710021091
2007-06-17_23-40-26,2007-06-18_10-35-06,0.7636022514071295
2007-06-18_10-35-06,2007-06-19_23-04-17,0.7236782391649649
2007-06-19_23-04-17,2007-06-20_15-23-03,0.774393011118675
2007-06-20_15-23-03,2007-06-21_13-44-53,0.7104304635761587
2007-06-21_13-44-53,2007-06-22_17-39-21,0.7654525386313464
2007-06-22_17-39-21,2007-06-23_23-14-02,0.7439832014214184
2007-06-23_23-14-02,2007-06-25_22-55-34,0.7636428974793366
2007-06-25_22-55-34,2007-06-26_15-59-37,0.7502438523538169
2007-06-26_15-59-37,2007-06-27_21-40-07,0.7230082279751152
2007-06-27_21-40-07,2007-06-28_17-13-51,0.7231085691350595
2007-06-28_17-13-51,2007-06-30_17-12-14,0.7524000205349349
2007-06-30_17-12-14,2007-07-01_22-25-33,0.6950619813543696
2007-07-01_22-25-33,2007-07-02_15-47-52,0.7476924690581077
2007-07-02_15-47-52,2007-07-03_15-47-50,0.7564505978602896
2007-07-03_15-47-50,2007-07-05_00-12-55,0.7233377727691834
2007-07-05_00-12-55,2007-07-06_16-57-06,0.7490011269337159
2007-07-06_16-57-06,2007-07-13_15-26-53,0.7336850732506918
2007-07-13_15-26-53,2007-07-14_22-51-28,0.7226718573916607
2007-07-14_22-51-28,2007-07-15_19-27-48,0.7515208726662472
2007-07-15_19-27-48,2007-07-16_22-21-15,0.7562408223201176
2007-07-16_22-21-15,2007-07-17_23-22-49,0.7318281938325992
2007-07-17_23-22-49,2007-07-18_22-03-40,0.7702242691229478
2007-07-18_22-03-40,2007-07-19_22-50-47,0.7294261294261297
2007-07-19_22-50-47,2007-07-20_21-29-49,0.6696459096459099
2007-07-20_21-29-49,2007-07-21_22-29-26,0.7529884749396948
