Version1,Version2,Hungarian
2007-05-20_22-22-18,2007-05-21_23-30-54,0.6268090705053789
2007-05-21_23-30-54,2007-05-22_21-46-11,0.6454927087936366
2007-05-22_21-46-11,2007-05-23_15-22-50,0.6413027968036529
2007-05-23_15-22-50,2007-05-24_13-52-46,0.5827625570776255
2007-05-24_13-52-46,2007-05-25_14-34-30,0.6181974698704994
2007-05-25_14-34-30,2007-05-26_19-00-18,0.617614501176145
2007-05-26_19-00-18,2007-05-27_03-39-50,0.6402725889027259
2007-05-27_03-39-50,2007-05-29_21-41-28,0.597388698630137
2007-05-29_21-41-28,2007-05-30_14-48-38,0.6289193302891931
2007-05-30_14-48-38,2007-05-31_23-55-39,0.6203196347031963
2007-05-31_23-55-39,2007-06-01_14-40-03,0.626933274414494
2007-06-01_14-40-03,2007-06-02_12-54-09,0.6643473218815685
2007-06-02_12-54-09,2007-06-03_22-30-22,0.5901645285206931
2007-06-03_22-30-22,2007-06-04_23-32-35,0.655367231638418
2007-06-04_23-32-35,2007-06-05_22-29-14,0.6300621303989818
2007-06-05_22-29-14,2007-06-06_19-27-58,0.66546897222846
2007-06-06_19-27-58,2007-06-07_13-22-56,0.6700152207001523
2007-06-07_13-22-56,2007-06-08_16-18-15,0.5501638001638001
2007-06-08_16-18-15,2007-06-09_23-49-05,0.6179019929019929
2007-06-09_23-49-05,2007-06-10_19-29-37,0.555089485458613
2007-06-10_19-29-37,2007-06-11_16-31-55,0.6002976190476192
2007-06-11_16-31-55,2007-06-12_22-35-19,0.6079082843477309
2007-06-12_22-35-19,2007-06-13_12-49-46,0.598999598378911
2007-06-13_12-49-46,2007-06-14_21-41-15,0.6203043801039346
2007-06-14_21-41-15,2007-06-15_23-43-11,0.5852511659912838
2007-06-15_23-43-11,2007-06-16_20-52-33,0.5883828286867071
2007-06-16_20-52-33,2007-06-17_23-40-26,0.6173735784278664
2007-06-17_23-40-26,2007-06-18_10-35-06,0.644481796724126
2007-06-18_10-35-06,2007-06-19_23-04-17,0.5740113384955755
2007-06-19_23-04-17,2007-06-20_15-23-03,0.6043226684819606
2007-06-20_15-23-03,2007-06-21_13-44-53,0.578264561046018
2007-06-21_13-44-53,2007-06-22_17-39-21,0.6494338816492202
2007-06-22_17-39-21,2007-06-23_23-14-02,0.591156992598364
2007-06-23_23-14-02,2007-06-25_22-55-34,0.6094314873468342
2007-06-25_22-55-34,2007-06-26_15-59-37,0.6256898454746135
2007-06-26_15-59-37,2007-06-27_21-40-07,0.6149169471284333
2007-06-27_21-40-07,2007-06-28_17-13-51,0.6422699246403288
2007-06-28_17-13-51,2007-06-30_17-12-14,0.6492961314370497
2007-06-30_17-12-14,2007-07-01_22-25-33,0.6116848414819095
2007-07-01_22-25-33,2007-07-02_15-47-52,0.6442550733010762
2007-07-02_15-47-52,2007-07-03_15-47-50,0.6473201174743026
2007-07-03_15-47-50,2007-07-05_00-12-55,0.6159829295154186
2007-07-05_00-12-55,2007-07-06_16-57-06,0.612300385462555
2007-07-06_16-57-06,2007-07-13_15-26-53,0.6643171806167402
2007-07-13_15-26-53,2007-07-14_22-51-28,0.5922173274596182
2007-07-14_22-51-28,2007-07-15_19-27-48,0.595482833368296
2007-07-15_19-27-48,2007-07-16_22-21-15,0.6151047924175677
2007-07-16_22-21-15,2007-07-17_23-22-49,0.6019223067681218
2007-07-17_23-22-49,2007-07-18_22-03-40,0.6276134536046433
2007-07-18_22-03-40,2007-07-19_22-50-47,0.607692307692308
2007-07-19_22-50-47,2007-07-20_21-29-49,0.5803244374672951
2007-07-20_21-29-49,2007-07-21_22-29-26,0.6265480551194842
2007-07-21_22-29-26,2007-07-23_22-44-15,0.5461122335918661
2007-07-23_22-44-15,2007-07-24_15-54-42,0.5764843902756959
2007-07-24_15-54-42,2007-07-25_17-39-46,0.6398436399492888
2007-07-25_17-39-46,2007-07-26_11-12-51,0.6667488378644881
2007-07-26_11-12-51,2007-07-27_15-30-39,0.6217777151711511
2007-07-27_15-30-39,2007-07-29_14-59-06,0.6092044213973797
2007-07-29_14-59-06,2007-07-30_12-32-37,0.6363453140745714
2007-07-30_12-32-37,2007-07-31_17-09-44,0.6390432711393412
2007-07-31_17-09-44,2007-08-01_23-30-54,0.6087071589254994
2007-08-01_23-30-54,2007-08-02_22-31-05,0.6109957763619445
2007-08-02_22-31-05,2007-08-03_14-17-21,0.6153111353711788
2007-08-03_14-17-21,2007-08-06_15-49-12,0.5866880458515283
2007-08-06_15-49-12,2007-08-09_08-27-24,0.5712798118911657
2007-08-09_08-27-24,2007-08-11_20-26-02,0.5950957339603629
2007-08-11_20-26-02,2007-08-12_21-33-06,0.5949141040751457
2007-08-12_21-33-06,2007-08-13_14-10-24,0.5686658913440771
2007-08-13_14-10-24,2007-08-14_16-55-01,0.5773384283103508
2007-08-14_16-55-01,2007-08-15_20-42-52,0.6304885590599878
2007-08-15_20-42-52,2007-08-16_18-27-47,0.6230535633520707
2007-08-16_18-27-47,2007-08-17_19-21-12,0.5876138786586548
2007-08-17_19-21-12,2007-08-18_15-48-00,0.6696248196248197
2007-08-18_15-48-00,2007-08-19_21-24-37,0.6201470487184771
2007-08-19_21-24-37,2007-08-20_17-27-40,0.6172610458324743
2007-08-20_17-27-40,2007-08-21_11-18-25,0.610883620689655
2007-08-21_11-18-25,2007-08-22_18-14-44,0.6439098998887655
2007-08-22_18-14-44,2007-08-23_14-11-30,0.6366448832035596
2007-08-23_14-11-30,2007-08-24_21-46-24,0.6403335217637085
2007-08-24_21-46-24,2007-08-25_22-16-04,0.5175454436017815
2007-08-25_22-16-04,2007-08-26_18-23-13,0.6505519943019943
2007-08-26_18-23-13,2007-08-27_17-02-19,0.6447649572649573
2007-08-27_17-02-19,2007-08-28_20-04-15,0.6054223554223552
2007-08-28_20-04-15,2007-08-29_18-34-26,0.6201512163050625
2007-08-29_18-34-26,2007-08-31_21-45-52,0.6594301994301995
2007-08-31_21-45-52,2007-09-02_22-12-07,0.5491168091168092
2007-09-02_22-12-07,2007-09-03_20-05-58,0.6223884140550807
2007-09-03_20-05-58,2007-09-04_19-33-22,0.6043447293447293
2007-09-04_19-33-22,2007-09-05_15-45-51,0.5735930735930734
2007-09-05_15-45-51,2007-09-06_17-52-22,0.6434676434676434
2007-09-06_17-52-22,2007-09-07_20-28-25,0.5862291947818263
2007-09-07_20-28-25,2007-09-08_17-42-00,0.6152953718800953
2007-09-08_17-42-00,2007-09-09_14-11-11,0.6215351812366737
2007-09-09_14-11-11,2007-09-10_17-17-01,0.6038379530916848
2007-09-10_17-17-01,2007-09-11_16-28-14,0.5851272015655578
2007-09-11_16-28-14,2007-09-13_20-20-44,0.6045214241902035
2007-09-13_20-20-44,2007-09-15_13-28-30,0.6081097748997842
2007-09-15_13-28-30,2007-09-16_19-41-40,0.6213999383287081
2007-09-16_19-41-40,2007-09-20_19-44-10,0.6104905437352248
2007-09-20_19-44-10,2007-09-21_22-48-02,0.590764331210191
2007-09-21_22-48-02,2007-09-22_21-37-27,0.640982543052607
2007-09-22_21-37-27,2007-09-23_18-34-49,0.5994928049068178
2007-09-23_18-34-49,2007-09-24_20-14-32,0.5898263676817033
2007-09-24_20-14-32,2007-09-25_18-35-28,0.637349853125091
2007-09-25_18-35-28,2007-09-26_18-18-59,0.6297412061743272
2007-09-26_18-18-59,2007-09-27_20-49-57,0.6426136998547326
2007-09-27_20-49-57,2007-09-28_23-45-56,0.624483182478489
2007-09-28_23-45-56,2007-09-29_23-26-52,0.6135586223165839
2007-09-29_23-26-52,2007-09-30_23-50-48,0.6143982567884683
2007-09-30_23-50-48,2007-10-01_18-04-42,0.6411330874958099
2007-10-01_18-04-42,2007-10-02_10-17-56,0.6056334041047418
2007-10-02_10-17-56,2007-10-05_22-11-06,0.6333156404812459
2007-10-05_22-11-06,2007-10-06_20-47-53,0.6593241330502476
2007-10-06_20-47-53,2007-10-07_21-00-41,0.5594397363465159
2007-10-07_21-00-41,2007-10-08_22-16-14,0.5932748034658863
2007-10-08_22-16-14,2007-10-09_18-08-04,0.6112641303724107
2007-10-09_18-08-04,2007-10-10_20-53-41,0.6540474268113993
2007-10-10_20-53-41,2007-10-11_19-53-10,0.6023382138031821
2007-10-11_19-53-10,2007-10-13_03-36-03,0.5535886618689166
2007-10-13_03-36-03,2007-10-14_07-57-26,0.5873868121662412
2007-10-14_07-57-26,2007-10-15_22-09-15,0.6240551992670637
2007-10-15_22-09-15,2007-10-16_23-00-50,0.6505708568738231
2007-10-16_23-00-50,2007-10-17_14-33-31,0.599898090538511
2007-10-17_14-33-31,2007-10-18_23-27-46,0.5581930580458693
2007-10-18_23-27-46,2007-10-19_21-49-48,0.6372324712560454
2007-10-19_21-49-48,2007-10-20_19-20-22,0.6075287761334275
2007-10-20_19-20-22,2007-10-21_23-24-42,0.6253004720669582
2007-10-21_23-24-42,2007-10-22_15-53-34,0.6060796525912804
