Version1,Version2,Hungarian
2007-05-20_22-22-18,2007-05-21_23-30-54,0.6103323776149516
2007-05-21_23-30-54,2007-05-22_21-46-11,0.6341595999130247
2007-05-22_21-46-11,2007-05-23_15-22-50,0.645375384942126
2007-05-23_15-22-50,2007-05-24_13-52-46,0.6165976425613253
2007-05-24_13-52-46,2007-05-25_14-34-30,0.5787100456621004
2007-05-25_14-34-30,2007-05-26_19-00-18,0.5771244013810001
2007-05-26_19-00-18,2007-05-27_03-39-50,0.6423877937409512
2007-05-27_03-39-50,2007-05-29_21-41-28,0.6537671232876714
2007-05-29_21-41-28,2007-05-30_14-48-38,0.658904109589041
2007-05-30_14-48-38,2007-05-31_23-55-39,0.6509076734602962
2007-05-31_23-55-39,2007-06-01_14-40-03,0.6520770687158927
2007-06-01_14-40-03,2007-06-02_12-54-09,0.6652968036529683
2007-06-02_12-54-09,2007-06-03_22-30-22,0.6447488584474884
2007-06-03_22-30-22,2007-06-04_23-32-35,0.6042794945311669
2007-06-04_23-32-35,2007-06-05_22-29-14,0.6107040458744823
2007-06-05_22-29-14,2007-06-06_19-27-58,0.6397831050228311
2007-06-06_19-27-58,2007-06-07_13-22-56,0.6092377941693012
2007-06-07_13-22-56,2007-06-08_16-18-15,0.6383004626247867
2007-06-08_16-18-15,2007-06-09_23-49-05,0.6009668204790156
2007-06-09_23-49-05,2007-06-10_19-29-37,0.606591367927102
2007-06-10_19-29-37,2007-06-11_16-31-55,0.6436941964285715
2007-06-11_16-31-55,2007-06-12_22-35-19,0.6657572383073498
2007-06-12_22-35-19,2007-06-13_12-49-46,0.6376772230973982
2007-06-13_12-49-46,2007-06-14_21-41-15,0.6440328100385682
2007-06-14_21-41-15,2007-06-15_23-43-11,0.6131078224101479
2007-06-15_23-43-11,2007-06-16_20-52-33,0.5633475996493579
2007-06-16_20-52-33,2007-06-17_23-40-26,0.6422569728089624
2007-06-17_23-40-26,2007-06-18_10-35-06,0.6349223946784923
2007-06-18_10-35-06,2007-06-19_23-04-17,0.6251106194690265
2007-06-19_23-04-17,2007-06-20_15-23-03,0.6127751304742455
2007-06-20_15-23-03,2007-06-21_13-44-53,0.5714208797717119
2007-06-21_13-44-53,2007-06-22_17-39-21,0.5945189253217037
2007-06-22_17-39-21,2007-06-23_23-14-02,0.6344922737306843
2007-06-23_23-14-02,2007-06-25_22-55-34,0.6308332049899893
2007-06-25_22-55-34,2007-06-26_15-59-37,0.6108116433081782
2007-06-26_15-59-37,2007-06-27_21-40-07,0.6581677704194261
2007-06-27_21-40-07,2007-06-28_17-13-51,0.642494481236203
2007-06-28_17-13-51,2007-06-30_17-12-14,0.6785532348446256
2007-06-30_17-12-14,2007-07-01_22-25-33,0.6500621258330511
2007-07-01_22-25-33,2007-07-02_15-47-52,0.669998870439399
2007-07-02_15-47-52,2007-07-03_15-47-50,0.6619789901728226
2007-07-03_15-47-50,2007-07-05_00-12-55,0.6646899356150456
2007-07-05_00-12-55,2007-07-06_16-57-06,0.5787077826725404
2007-07-06_16-57-06,2007-07-13_15-26-53,0.5207537934410181
2007-07-13_15-26-53,2007-07-14_22-51-28,0.6181368862146772
2007-07-14_22-51-28,2007-07-15_19-27-48,0.5887504029225313
2007-07-15_19-27-48,2007-07-16_22-21-15,0.6326668925787869
2007-07-16_22-21-15,2007-07-17_23-22-49,0.6406468249704521
2007-07-17_23-22-49,2007-07-18_22-03-40,0.6622971956591811
2007-07-18_22-03-40,2007-07-19_22-50-47,0.6053604931653714
2007-07-19_22-50-47,2007-07-20_21-29-49,0.6356593406593409
2007-07-20_21-29-49,2007-07-21_22-29-26,0.6480219780219784
2007-07-21_22-29-26,2007-07-23_22-44-15,0.5961714227683559
2007-07-23_22-44-15,2007-07-24_15-54-42,0.6462882096069869
2007-07-24_15-54-42,2007-07-25_17-39-46,0.664223331253899
2007-07-25_17-39-46,2007-07-26_11-12-51,0.6435329590351424
2007-07-26_11-12-51,2007-07-27_15-30-39,0.6448144104803493
2007-07-27_15-30-39,2007-07-29_14-59-06,0.6105739238927013
2007-07-29_14-59-06,2007-07-30_12-32-37,0.6402578498648366
2007-07-30_12-32-37,2007-07-31_17-09-44,0.6653384279475982
2007-07-31_17-09-44,2007-08-01_23-30-54,0.6768013100436682
2007-08-01_23-30-54,2007-08-02_22-31-05,0.6436985884025594
2007-08-02_22-31-05,2007-08-03_14-17-21,0.5970346298364985
2007-08-03_14-17-21,2007-08-06_15-49-12,0.6040418401543618
2007-08-06_15-49-12,2007-08-09_08-27-24,0.5961206458819944
2007-08-09_08-27-24,2007-08-11_20-26-02,0.6457024177228672
2007-08-11_20-26-02,2007-08-12_21-33-06,0.595515170837983
2007-08-12_21-33-06,2007-08-13_14-10-24,0.5890671603414583
2007-08-13_14-10-24,2007-08-14_16-55-01,0.607322842744009
2007-08-14_16-55-01,2007-08-15_20-42-52,0.6239303332326588
2007-08-15_20-42-52,2007-08-16_18-27-47,0.5937279774489076
2007-08-16_18-27-47,2007-08-17_19-21-12,0.6302824159967017
2007-08-17_19-21-12,2007-08-18_15-48-00,0.6367243867243866
2007-08-18_15-48-00,2007-08-19_21-24-37,0.6516774891774891
2007-08-19_21-24-37,2007-08-20_17-27-40,0.6464998416217929
2007-08-20_17-27-40,2007-08-21_11-18-25,0.6266820857863751
2007-08-21_11-18-25,2007-08-22_18-14-44,0.6171311146752205
2007-08-22_18-14-44,2007-08-23_14-11-30,0.568364073777065
2007-08-23_14-11-30,2007-08-24_21-46-24,0.6318965517241378
2007-08-24_21-46-24,2007-08-25_22-16-04,0.5335042735042735
2007-08-25_22-16-04,2007-08-26_18-23-13,0.6668682470569263
2007-08-26_18-23-13,2007-08-27_17-02-19,0.6143558088002531
2007-08-27_17-02-19,2007-08-28_20-04-15,0.6853305424733998
2007-08-28_20-04-15,2007-08-29_18-34-26,0.6521614069690993
2007-08-29_18-34-26,2007-08-31_21-45-52,0.6701594345825115
2007-08-31_21-45-52,2007-09-02_22-12-07,0.6333165744930451
2007-09-02_22-12-07,2007-09-03_20-05-58,0.6711627492877493
2007-09-03_20-05-58,2007-09-04_19-33-22,0.6313691650230111
2007-09-04_19-33-22,2007-09-05_15-45-51,0.6866634413804223
2007-09-05_15-45-51,2007-09-06_17-52-22,0.6723512336719886
2007-09-06_17-52-22,2007-09-07_20-28-25,0.6226166995397764
2007-09-07_20-28-25,2007-09-08_17-42-00,0.6520522388059702
2007-09-08_17-42-00,2007-09-09_14-11-11,0.6114575371122821
2007-09-09_14-11-11,2007-09-10_17-17-01,0.6380399589354814
2007-09-10_17-17-01,2007-09-11_16-28-14,0.6716015609285111
2007-09-11_16-28-14,2007-09-13_20-20-44,0.654664681980931
2007-09-13_20-20-44,2007-09-15_13-28-30,0.6632040050062576
2007-09-15_13-28-30,2007-09-16_19-41-40,0.6667348608837973
2007-09-16_19-41-40,2007-09-20_19-44-10,0.5890752864157117
2007-09-20_19-44-10,2007-09-21_22-48-02,0.6354830148619959
2007-09-21_22-48-02,2007-09-22_21-37-27,0.6310940191483395
2007-09-22_21-37-27,2007-09-23_18-34-49,0.6127068060729879
2007-09-23_18-34-49,2007-09-24_20-14-32,0.6886942675159236
2007-09-24_20-14-32,2007-09-25_18-35-28,0.6658000779929807
2007-09-25_18-35-28,2007-09-26_18-18-59,0.6547077429697996
2007-09-26_18-18-59,2007-09-27_20-49-57,0.6594479830148621
2007-09-27_20-49-57,2007-09-28_23-45-56,0.6629299363057325
2007-09-28_23-45-56,2007-09-29_23-26-52,0.6169931498617953
2007-09-29_23-26-52,2007-09-30_23-50-48,0.610583663822457
2007-09-30_23-50-48,2007-10-01_18-04-42,0.659256483909912
2007-10-01_18-04-42,2007-10-02_10-17-56,0.649556637941801
2007-10-02_10-17-56,2007-10-05_22-11-06,0.674769270765631
2007-10-05_22-11-06,2007-10-06_20-47-53,0.6015696087352139
2007-10-06_20-47-53,2007-10-07_21-00-41,0.620384382566586
2007-10-07_21-00-41,2007-10-08_22-16-14,0.6921035440143721
2007-10-08_22-16-14,2007-10-09_18-08-04,0.6743018128368448
2007-10-09_18-08-04,2007-10-10_20-53-41,0.6669580783481122
2007-10-10_20-53-41,2007-10-11_19-53-10,0.6287975294344719
2007-10-11_19-53-10,2007-10-13_03-36-03,0.5731325998841922
2007-10-13_03-36-03,2007-10-14_07-57-26,0.6182043492165014
2007-10-14_07-57-26,2007-10-15_22-09-15,0.658898305084746
2007-10-15_22-09-15,2007-10-16_23-00-50,0.6674144233964773
2007-10-16_23-00-50,2007-10-17_14-33-31,0.6716101694915254
2007-10-17_14-33-31,2007-10-18_23-27-46,0.661183932346723
2007-10-18_23-27-46,2007-10-19_21-49-48,0.6738796998714919
2007-10-19_21-49-48,2007-10-20_19-20-22,0.6822654090095951
2007-10-20_19-20-22,2007-10-21_23-24-42,0.6677101967799642
2007-10-21_23-24-42,2007-10-22_15-53-34,0.6695983086680761
2007-10-22_15-53-34,2007-10-29_21-21-27,0.6195499296765121
2007-10-29_21-21-27,2007-10-30_19-54-39,0.5886459532029151
2007-10-30_19-54-39,2007-11-02_23-31-10,0.6413096397273611
2007-11-02_23-31-10,2007-11-04_15-57-35,0.6315319701395651
2007-11-04_15-57-35,2007-11-05_23-09-03,0.6494167287168031
2007-11-05_23-09-03,2007-11-06_11-34-03,0.6603789195002894
2007-11-06_11-34-03,2007-11-07_16-01-28,0.6513609663274592
2007-11-07_16-01-28,2007-11-08_21-11-43,0.6580288193615158
2007-11-08_21-11-43,2007-11-10_03-24-21,0.6723436900652089
2007-11-10_03-24-21,2007-11-11_06-35-41,0.5584963559647106
2007-11-11_06-35-41,2007-11-12_21-21-35,0.6252171754777859
2007-11-12_21-21-35,2007-11-13_22-23-57,0.6575659799784891
2007-11-13_22-23-57,2007-11-14_23-48-35,0.6721804511278195
2007-11-14_23-48-35,2007-11-15_17-47-45,0.6729120219516378
2007-11-15_17-47-45,2007-11-16_20-35-30,0.6634536167408138
2007-11-16_20-35-30,2007-11-17_19-11-05,0.6847931480284424
2007-11-17_19-11-05,2007-11-18_22-56-25,0.6703639377911107
2007-11-18_22-56-25,2007-11-19_09-04-22,0.6833643266697662
2007-11-19_09-04-22,2007-11-22_21-41-14,0.614699074074074
2007-11-22_21-41-14,2007-11-23_23-39-01,0.6570046377738683
2007-11-23_23-39-01,2007-11-24_04-49-07,0.5859375000000001
2007-11-24_04-49-07,2007-11-25_12-53-25,0.6193304764733336
2007-11-25_12-53-25,2007-11-26_18-29-52,0.6344094457302005
2007-11-26_18-29-52,2007-11-27_09-42-33,0.5474443965010004
2007-11-27_09-42-33,2007-11-28_19-25-32,0.6609336609336608
2007-11-28_19-25-32,2007-11-29_08-17-45,0.6615479115479116
2007-11-29_08-17-45,2007-11-30_07-29-05,0.6504112808460635
2007-11-30_07-29-05,2007-12-02_08-56-53,0.5927746707559084
2007-12-02_08-56-53,2007-12-03_10-45-14,0.5854009653653993
2007-12-03_10-45-14,2007-12-04_21-44-52,0.6009823016343468
2007-12-04_21-44-52,2007-12-09_10-07-39,0.6520702745651982
2007-12-09_10-07-39,2007-12-10_08-40-29,0.6755440765517824
2007-12-10_08-40-29,2007-12-11_13-15-11,0.6445507663646373
2007-12-11_13-15-11,2007-12-13_00-15-50,0.6800123598481507
2007-12-13_00-15-50,2007-12-16_17-22-33,0.6673876578087755
2007-12-16_17-22-33,2007-12-20_21-11-38,0.6855042395814541
2007-12-20_21-11-38,2007-12-21_22-18-16,0.6439156575493267
2007-12-21_22-18-16,2007-12-22_19-57-28,0.6271179279165083
2007-12-22_19-57-28,2007-12-23_02-36-51,0.6417805383022774
2007-12-23_02-36-51,2007-12-24_17-33-56,0.6137190082644628
2007-12-24_17-33-56,2007-12-25_16-08-53,0.6637772524297348
2007-12-25_16-08-53,2007-12-26_21-49-33,0.6375974082829876
2007-12-26_21-49-33,2007-12-28_17-04-42,0.6624619788870997
2007-12-28_17-04-42,2007-12-29_02-16-23,0.6717012520795027
2007-12-29_02-16-23,2007-12-30_20-13-39,0.6556343577620172
2007-12-30_20-13-39,2008-01-02_19-55-04,0.6411979881115684
2008-01-02_19-55-04,2008-01-03_12-13-42,0.6750406737486842
2008-01-03_12-13-42,2008-01-04_20-10-51,0.656191545080434
2008-01-04_20-10-51,2008-01-05_03-26-41,0.6437627811860941
2008-01-05_03-26-41,2008-01-06_06-27-17,0.6369925597180525
2008-01-06_06-27-17,2008-01-07_19-06-47,0.6353391637297131
2008-01-07_19-06-47,2008-01-08_20-32-12,0.6498621854716812
2008-01-08_20-32-12,2008-01-09_23-00-00,0.6373699653240864
2008-01-09_23-00-00,2008-01-11_20-52-45,0.647995020894461
2008-01-11_20-52-45,2008-01-13_18-43-50,0.6522624634729478
